Program,File,Depth,Average Throughput Rate (MB/s)
subroutine_generator,recursive.json,64,14.84140625
subroutine_generator,recursive.json,128,14.77890625
subroutine_generator,simple_grammar.json,8,21.20390625
subroutine_generator,simple_grammar.json,16,21.15390625
subroutine_generator,simple_grammar.json,32,21.38203125
subroutine_generator,simple_grammar.json,64,21.36640625
subroutine_generator,simple_grammar.json,128,21.11953125
subroutine_generator,css.json,8,23.80390625
subroutine_generator,css.json,16,13.11640625
subroutine_generator,css.json,32,8.81953125
subroutine_generator,css.json,64,7.89140625
subroutine_generator,css.json,128,7.91328125
subroutine_generator,html.json,8,28.38828125
subroutine_generator,html.json,16,17.54140625
subroutine_generator,html.json,32,10.86953125
subroutine_generator,html.json,64,9.73828125
subroutine_generator,html.json,128,9.60078125
subroutine_generator,regular_expression.json,8,9.03203125
subroutine_generator,regular_expression.json,16,7.3828125
subroutine_generator,regular_expression.json,32,6.30703125
subroutine_generator,regular_expression.json,64,5.83203125
subroutine_generator,regular_expression.json,128,5.71015625
