Program,File,Depth,Average Throughput Rate (MB/s)
subroutine,json.json,8,45.6681640625
subroutine,json.json,16,41.5697265625
subroutine,json.json,32,41.3306640625
subroutine,json.json,64,41.3720703125
subroutine,json.json,128,42.7009765625
subroutine,css.json,8,129.8767578125
subroutine,css.json,16,70.1369140625
subroutine,css.json,32,43.4478515625
subroutine,css.json,64,38.7673828125
subroutine,css.json,128,38.8337890625
subroutine,if-else.json,8,88.0697265625
subroutine,if-else.json,16,46.6166015625
subroutine,if-else.json,32,36.5126953125
subroutine,if-else.json,64,34.9345703125
subroutine,if-else.json,128,35.0455078125
subroutine,html.json,8,195.9322265625
subroutine,html.json,16,112.4392578125
subroutine,html.json,32,64.0673828125
subroutine,html.json,64,56.4642578125
subroutine,html.json,128,53.6712890625
subroutine,regular_expression.json,8,30.7509765625
subroutine,regular_expression.json,16,28.5048828125
subroutine,regular_expression.json,32,23.9048828125
subroutine,regular_expression.json,64,21.5416015625
subroutine,regular_expression.json,128,20.9166015625
baresubroutine,math.json,8,33.8447265625
baresubroutine,math.json,16,33.5298828125
baresubroutine,math.json,32,32.6603515625
baresubroutine,math.json,64,33.5228515625
baresubroutine,recursive.json,8,62.8345703125
baresubroutine,recursive.json,16,61.1939453125
baresubroutine,recursive.json,32,61.8580078125
baresubroutine,recursive.json,64,58.3916015625
baresubroutine,recursive.json,128,59.0673828125
baresubroutine,query.json,8,214.8408203125
baresubroutine,query.json,16,203.8728515625
baresubroutine,query.json,32,202.2626953125
baresubroutine,query.json,64,199.1955078125
baresubroutine,control_flow.json,8,22.1720703125
baresubroutine,control_flow.json,16,0.0
baresubroutine,control_flow.json,32,0.0
baresubroutine,control_flow.json,64,0.0
baresubroutine,programming.json,8,135.6634765625
baresubroutine,programming.json,16,142.0298828125
baresubroutine,programming.json,32,137.6033203125
baresubroutine,programming.json,64,133.9361328125
baresubroutine,programming.json,128,130.7681640625
baresubroutine,json.json,8,65.8384765625
baresubroutine,json.json,16,67.4869140625
baresubroutine,json.json,32,67.4330078125
baresubroutine,json.json,64,66.9064453125
baresubroutine,json.json,128,63.9712890625
baresubroutine,css.json,8,50.3369140625
baresubroutine,css.json,16,52.8267578125
baresubroutine,css.json,32,47.5291015625
baresubroutine,css.json,64,50.5134765625
baresubroutine,css.json,128,52.2228515625
baresubroutine,if-else.json,8,130.6853515625
baresubroutine,if-else.json,16,128.6681640625
baresubroutine,if-else.json,32,122.3658203125
baresubroutine,if-else.json,64,130.0642578125
baresubroutine,if-else.json,128,133.3103515625
baresubroutine,html.json,8,187.3923828125
baresubroutine,html.json,16,189.377734375
baresubroutine,html.json,32,193.7447265625
baresubroutine,html.json,64,187.471875
baresubroutine,html.json,128,195.6900390625
baresubroutine,regular_expression.json,8,29.4205078125
baresubroutine,regular_expression.json,16,29.2212890625
baresubroutine,regular_expression.json,32,33.2681640625
baresubroutine,regular_expression.json,64,31.5361328125
baresubroutine,regular_expression.json,128,30.2408203125
DT,control_flow.json,8,1465.29296875
DT,control_flow.json,16,1429.633203125
DT,control_flow.json,32,1342.44453125
DT,control_flow.json,64,978.6923828125
DT,math.json,8,1483.94375
DT,math.json,16,1465.957421875
DT,math.json,32,1438.7853515625
DT,math.json,64,1176.8458984375
DT,recursive.json,8,1441.2974609375
DT,recursive.json,16,1430.1494140625
DT,recursive.json,32,1449.728125
DT,recursive.json,64,1447.2443359375
DT,recursive.json,128,1433.63359375
DT,query.json,8,1434.7421875
DT,query.json,16,1436.834765625
DT,query.json,32,1405.8740234375
DT,query.json,64,1214.292578125
DT,programming.json,8,1434.1658203125
DT,programming.json,16,1425.4251953125
DT,programming.json,32,1405.4056640625
DT,programming.json,64,1287.563671875
DT,programming.json,128,556.33046875
DT,json.json,8,1438.4451171875
DT,json.json,16,1459.9037109375
DT,json.json,32,1497.8306640625
DT,json.json,64,1471.8416015625
DT,json.json,128,1419.548828125
DT,css.json,8,1431.3591796875
DT,css.json,16,1430.16953125
DT,css.json,32,1408.537890625
DT,css.json,64,1409.978515625
DT,css.json,128,1436.7828125
DT,if-else.json,8,1437.530859375
DT,if-else.json,16,1448.1576171875
DT,if-else.json,32,1445.919921875
DT,if-else.json,64,1465.370703125
DT,if-else.json,128,1453.1134765625
DT,html.json,8,1453.3365234375
DT,html.json,16,1455.8263671875
DT,html.json,32,1432.2208984375
DT,html.json,64,1433.304296875
DT,html.json,128,1421.988671875
DT,regular_expression.json,8,1446.1259765625
DT,regular_expression.json,16,1431.5232421875
DT,regular_expression.json,32,1448.4677734375
DT,regular_expression.json,64,1434.8412109375
DT,regular_expression.json,128,1437.643359375
